Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL1567463,CHOLINE ALFOSCERATE,,257.22,0.0,-1.45,CHOLINE ALFOSCERATE,C[N+](C)(C)CCOP(=O)([O-])OC[C@H](O)CO,Ki,>,10000.0,nM,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,0,CHEMBL1909110,DRUGMATRIX: Sigma1 radioligand binding (ligand: [3H] Haloperidol),B,BAO_0000249,cell membrane format,,,,Jurkat,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307526,,,
CHEMBL1385840,ERGOCORNINE,,561.68,1.0,2.04,ERGOCORNINE,CC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,IC50,>,10000.0,nM,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,0,CHEMBL1909110,DRUGMATRIX: Sigma1 radioligand binding (ligand: [3H] Haloperidol),B,BAO_0000249,cell membrane format,,,,Jurkat,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307526,,,
CHEMBL370805,COCAINE,4.0,303.36,0.0,1.87,Cocaine,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,Ki,'=',8830.0,nM,5.05,,,UO_0000065,16.66,0.31,3.18,9.05,0,CHEMBL808200,Binding affinity against Sigma receptor type 1 was determined by the displacement of [3H]pentazocine radioligand,B,BAO_0000357,single protein format,Cavia porcellus,,,,,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145802,1,Scientific Literature,J Med Chem,2003.0,,,,
CHEMBL456,ETHACRYNIC ACID,4.0,303.14,0.0,3.61,ETHACRYNIC ACID,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,IC50,>,10000.0,nM,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,0,CHEMBL1909110,DRUGMATRIX: Sigma1 radioligand binding (ligand: [3H] Haloperidol),B,BAO_0000249,cell membrane format,,,,Jurkat,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307526,,,
CHEMBL86477,,,439.65,1.0,6.21,4,C[C@@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@@H](C)N1CCCc1ccccc1,Ki,'=',104.0,nM,6.98,,,UO_0000065,15.88,0.29,0.77,61.2,0,CHEMBL808200,Binding affinity against Sigma receptor type 1 was determined by the displacement of [3H]pentazocine radioligand,B,BAO_0000357,single protein format,Cavia porcellus,,,,,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145802,1,Scientific Literature,J Med Chem,2003.0,,,,
CHEMBL407030,,,1281.13,,,GAMMA-CYCLODEXTRIN,OC[C@H]1OC2C3[C@@H](CO)OC(O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]8[C@H](O)[C@@H](O)[C@@H](O[C@H]9[C@H](O)[C@@H](O)C(OC1[C@H](O)[C@H]2O)O[C@@H]9CO)O[C@@H]8CO)O[C@@H]7CO)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)[C@H](O)[C@H]3O,IC50,>,10000.0,nM,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,0,CHEMBL1909110,DRUGMATRIX: Sigma1 radioligand binding (ligand: [3H] Haloperidol),B,BAO_0000249,cell membrane format,,,,Jurkat,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307526,,,
CHEMBL544992,,,338.66,0.0,3.17,AC 915.HCl,Cl.O=C(Cc1ccc(Cl)c(Cl)c1)OCCN1CCCC1,Ki,'=',2.51,nM,8.6,,,UO_0000065,28.46,0.62,5.43,29.11,0,CHEMBL808202,Inhibition of [3H]pentazocine binding to Sigma receptor type 1 in guinea pig brain membrane without cerebellum,B,BAO_0000249,cell membrane format,Cavia porcellus,CHEMBL3638188,Brain,,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1136792,1,Scientific Literature,J Med Chem,2003.0,,,,
CHEMBL148009,,,351.45,0.0,3.81,21,CCOC(=O)C1OC2(CCN(Cc3ccccc3)CC2)c2ccccc21,Ki,'=',8.95,nM,8.05,,,UO_0000065,22.9,0.42,4.24,20.76,0,CHEMBL810658,Ability to displace [3H](+)-pentazocine from Sigma opioid receptor type 1 of guinea pig brain,B,BAO_0000019,assay format,Cavia porcellus,,,,,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135979,1,Scientific Literature,J Med Chem,2002.0,,,,
CHEMBL1909071,,,,,,NOVARTIS P-38 INHIBITOR,,IC50,'=',795.1,nM,6.1,,,UO_0000065,,,,,0,CHEMBL1909110,DRUGMATRIX: Sigma1 radioligand binding (ligand: [3H] Haloperidol),B,BAO_0000249,cell membrane format,,,,Jurkat,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307526,,,
CHEMBL1123,DICYCLOMINE,4.0,309.49,0.0,4.4,DICYCLOMINE,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,Ki,'=',2.055,nM,8.69,,,UO_0000065,28.07,0.54,4.29,29.41,0,CHEMBL1909110,DRUGMATRIX: Sigma1 radioligand binding (ligand: [3H] Haloperidol),B,BAO_0000249,cell membrane format,,,,Jurkat,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307526,,,
