ID;ChEMBL ID;SMILES;Standard Type S1R Receptor;Relation S1R Receptor; S1R Binding Affinity (nM);Standard Type S2R Receptor;Relation S2R Receptor;S2R Binding Affinity (nM);Relation Ratio  S1R/S2R;Ratio  S1R/S2R;Log Ratio  S1R/S2R; S1R Binding Affinity [-log( S1R Binding Affinity (M))];S2R Binding Affinity [-log(S2R Binding Affinity (M))];LogP;pKaH;LogD[pH=7.4];Topological Polar Surface Area;Molecular Weight;Hydrogen Bond Donor Count;Hydrogen Bond Acceptor Count;Atom Count;Description S1R Binding Procedure;Description S2R Binding Procedure;Formulation;SMILES (Formulation);Binding Affinity Assessments for S1R and S2R Receptors;Stereochemistry;Notes;Lipinski;logP-CNS MPO;logD-CNS MPO;HBD-CNS MPO;PSA-CNS MPO;MW-CNS MPO;pKa-CNS MPO;CNS MPO score;Reference;Reference Article Compound Key and/or Preferred Name;Journal;year;volume;issue;first;last;Authors;title;Standard Type Sigma-1 Receptor_1;Relation Sigma-1 Receptor_2;Sigma-1 Binding Affinity (nM)_3;Standard Type Sigma-2 Receptor_4;Relation Sigma-2 Receptor_5;Sigma-2 Binding Affinity (nM)_6;Relation Ratio Sigma-1/Sigma-2_7;Ratio Sigma-1/Sigma-2_8;Reference_9;Reference Article Compound Key or Preferred Name;Other References;Other Reference Article Compound Key or Preferred Name;Description Sigma-1 Binding Procedure_10;Description Sigma-2 Binding Procedure_11;Formulation_12;Smile (Formulation);Other Reference Article Compound Key and/or Preferred Name
S2RSLDB1;;COC1=C(OC)C=C2CN(CCCCN3C4=CC=CC=C4C4=C3C=CC=C4)CCC2=C1;Ki;=;2190;Ki;=;4;=;54750;4738384124;5659555885;1039794001;536;848;424;2663;4145393;0;3;61;Binding affinity for sigma-1 receptor measured on guinea pig brain homogenates minus cerebellum incubated with [3H]-(+)-pentazocine (30 Ci/mmol);Binding affinity towards sigma-2 receptor binding site using [3H]DTG (50 Ci/mmol) of rat liver membrane homogenates in the presence of 1 μM of (+)-Pentazocine;HCl salt;Cl.COC1=C(OC)C=C2CN(CCCCN3C4=CC=CC=C4C4=C3C=CC=C4)CCC2=C1;Single assessment;;;1;0;0;1;3315;4273035;76;25188035;ChemMedChem 2013, 8, 2026-35;25;ChemMedChem;2013;8;12;2026;2035;"Niso, M.; Abate, C.; Contino, M.; Ferorelli, S.; Azzariti, A.; Perrone, R.; Colabufo, N. A.; Berardi, F.,";Sigma-2 receptor agonists as possible antitumor agents in resistant tumors: hints for collateral sensitivity.;;;;;;;;;;;;;;;;;Eur J Med Chem 2015, 89, 606-15 6
S2RSLDB2;CHEMBL3262517;COC1=CC2=C(CN(CCCCNC(=O)C3=CN(N=N3)C3=CC=CC=C3OC)CC2)C=C1OC;Ki;=;13117;Ki;=;15;=;8744666667;3941743259;4882165481;8823908741;303;809;226;9074;4655447;1;7;65;Binding affinity for sigma-1 receptor measured on guinea pig brain membrane homogenates (≈300 μg protein) incubated with 5 nM [3H]-(+)-pentazocine (34.9 Ci/mmol);Binding affinity for sigma-2 receptor measured on rat liver membranes homogenates (≈300 μg protein) incubated with 1 nM [3H]DTG (58.1 Ci/mmol) in the presence of 1 μM (+)-pentazocine;Free base;COC1=CC2=C(CN(CCCCNC(=O)C3=CN(N=N3)C3=CC=CC=C3OC)CC2)C=C1OC;Single assessment;;;0;985;87;75;978358;1722765;955;47106345;J Med Chem 2014, 57, 4239-51;24d;Journal of medicinal chemistry;2014;57;10;4239;4251;"Bai, S.; Li, S.; Xu, J.; Peng, X.; Sai, K.; Chu, W.; Tu, Z.; Zeng, C.; Mach, R. H.,";Synthesis and structure-activity relationship studies of conformationally flexible tetrahydroisoquinolinyl triazole carboxamide and triazole substituted benzamide analogues as sigma2 receptor ligands.;;;;;;;;;;;;;;;;;
S2RSLDB3;CHEMBL129655;CC1(C)CCCN(CCCCC2=CCCC3=CC=CC=C23)C1;IC50;=;9450;IC50;=;11;=;8590909091;3934039123;5024568191;8958607315;564;1008;303;324;2974775;0;1;53;Binding affinity for sigma-1 receptor measured on male Sprague Dawley rats brain minus the cerebellum and pons-medulla oblongata membrane homogenates incubated with 4-5 nM [3H]-(+)-SKF 10,047 (60 Ci/mmol) in the presence of 300 nM unlabeled MK-801 to block binding of (+)-SKF 10,047 to PCP receptors. The Kd value for (+)-SKF 10,047 was calculated from saturation experiments and was 3.8 nM;Binding affinity for sigma-2 receptor measured on guinea-pig brain cortex as tissue incubated with 7-8 nM [3H]DTG and cold DTG to define the specific binding. The Kd value for DTG was 54 nM.;Oxalate;OC(=O)C(O)=O.CC1(C)CCCN(CCCCC2=CCCC3=CC=CC=C23)C1;Single assessment;;;1;0;485;1;0;1;0;2485;J Med Chem 1998, 41, 3940-7;26;Journal of medicinal chemistry;1997;40;24;3905;3914;"Efange, S. M.; Kamath, A. P.; Khare, A. B.; Kung, M. P.; Mach, R. H.; Parsons, S. M.,";N-hydroxyalkyl derivatives of 3 beta-phenyltropane and 1-methylspiro[1H-indoline-3,4'-piperidine]: vesamicol analogues with affinity for monoamine transporters.;;;;;;;;;;;;;;;;;
S2RSLDB4;CHEMBL227071;COC1=C(OC)C=C2CN(CCCCNC(=O)C3=CC(I)=CC(OC)=C3OCCF)CCC2=C1;Ki;=;2150;Ki;=;26;=;8269230769;3917465112;566756154;9585026652;391;809;314;6926;5864349;1;6;66;Binding affinity for sigma-1 receptor measured on guinea pig brain membrane homogenates (≈300 μg proteins) incubated with ≈5 nM [3H]-(+)-pentazocine (34.9 Ci/mmol) in 50 mM Tris-HCl;Binding affinity for sigma-2 receptor measured on rat liver membrane homogenates (≈300 μg protein) incubated with ≈5 nM [3H]DTG (58.1 Ci/mM) in the presence of 1 μM (+)-pentazocine in 50 mM Tris-HCl;Oxalate;OC(=O)C(O)=O.COC1=C(OC)C=C2CN(CCCCNC(=O)C3=CC(I)=CC(OC)=C3OCCF)CCC2=C1;Single assessment;;;1;545;43;75;1;0;955;368;J Med Chem 2007, 50, 3194-204;3f;Journal of medicinal chemistry;2007;50;14;3194;3204;"Tu, Z.; Xu, J.; Jones, L. A.; Li, S.; Dumstorff, C.; Vangveravong, S.; Chen, D. L.; Wheeler, K. T.; Welch, M. J.; Mach, R. H.,";Fluorine-18-labeled benzamide analogues for imaging the sigma2 receptor status of solid tumors with positron emission tomography.;;;;;;;;;;;;;;;;;
S2RSLDB5;CHEMBL3262519;COC1=CC=C(C=C1)N1C=C(N=N1)C(=O)NCCCCN1CCC2=CC(OC)=C(OC)C=C2C1;Ki;=;39157;Ki;=;55;=;7119454545;3852446722;4407190589;8259637311;303;809;226;9074;4655447;1;7;65;Binding affinity for sigma-1 receptor measured on guinea pig brain membrane homogenates (≈300 μg protein) incubated with 5 nM [3H]-(+)-pentazocine (34.9 Ci/mmol);Binding affinity for sigma-2 receptor measured on rat liver membranes homogenates (≈300 μg protein) incubated with 1 nM [3H]DTG (58.1 Ci/mmol) in the presence of 1 μM (+)-pentazocine;Free base;COC1=CC=C(C=C1)N1C=C(N=N1)C(=O)NCCCCN1CCC2=C(C1)C=C(OC)C(OC)=C2;Single assessment;;;0;985;87;75;978358;1722765;955;47106345;J Med Chem 2014, 57, 4239-51;24f;Journal of medicinal chemistry;2014;57;10;4239;4251;"Bai, S.; Li, S.; Xu, J.; Peng, X.; Sai, K.; Chu, W.; Tu, Z.; Zeng, C.; Mach, R. H.,";Synthesis and structure-activity relationship studies of conformationally flexible tetrahydroisoquinolinyl triazole carboxamide and triazole substituted benzamide analogues as sigma2 receptor ligands.;;;;;;;;;;;;;;;;;
S2RSLDB6;CHEMBL3262518;COC1=CC=CC(=C1)N1C=C(N=N1)C(=O)NCCCCN1CCC2=C(C1)C=C(OC)C(OC)=C2;Ki;=;20195;Ki;=;3;=;6731666667;3828122603;4694756142;8522878745;303;809;226;9074;4655447;1;7;65;Binding affinity for sigma-1 receptor measured on guinea pig brain membrane homogenates (≈300 μg protein) incubated with 5 nM [3H]-(+)-pentazocine (34.9 Ci/mmol);Binding affinity for sigma-2 receptor measured on rat liver membranes homogenates (≈300 μg protein) incubated with 1 nM [3H]DTG (58.1 Ci/mmol) in the presence of 1 μM (+)-pentazocine;Free base;COC1=CC(=CC=C1)N1C=C(N=N1)C(=O)NCCCCN1CCC2=C(C1)C=C(OC)C(OC)=C2;Single assessment;;;0;985;87;75;978358;1722765;955;47106345;J Med Chem 2014, 57, 4239-51;24e;Journal of medicinal chemistry;2014;57;10;4239;4251;"Bai, S.; Li, S.; Xu, J.; Peng, X.; Sai, K.; Chu, W.; Tu, Z.; Zeng, C.; Mach, R. H.,";Synthesis and structure-activity relationship studies of conformationally flexible tetrahydroisoquinolinyl triazole carboxamide and triazole substituted benzamide analogues as sigma2 receptor ligands.;;;;;;;;;;;;;;;;;
S2RSLDB7;CHEMBL3262526;COC1=CC2=C(CN(CCCCNC(=O)C3=CN(CC4=CC=C(O)C=C4)N=N3)CC2)C=C1OC;Ki;=;63545;Ki;=;116;=;5478017241;3738623395;4196918616;7935542011;295;808;218;10174;4655447;2;7;65;Binding affinity for sigma-1 receptor measured on guinea pig brain membrane homogenates (≈300 μg protein) incubated with 5 nM [3H]-(+)-pentazocine (34.9 Ci/mmol);Binding affinity for sigma-2 receptor measured on rat liver membranes homogenates (≈300 μg protein) incubated with 1 nM [3H]DTG (58.1 Ci/mmol) in the presence of 1 μM (+)-pentazocine;Free base;COC1=CC2=C(CN(CCCCNC(=O)C3=CN(CC4=CC=C(O)C=C4)N=N3)CC2)C=C1OC;Single assessment;;;0;1;91;5;612058;1722765;96;41543345;J Med Chem 2014, 57, 4239-51;39f;Journal of medicinal chemistry;2014;57;10;4239;4251;"Bai, S.; Li, S.; Xu, J.; Peng, X.; Sai, K.; Chu, W.; Tu, Z.; Zeng, C.; Mach, R. H.,";Synthesis and structure-activity relationship studies of conformationally flexible tetrahydroisoquinolinyl triazole carboxamide and triazole substituted benzamide analogues as sigma2 receptor ligands.;;;;;;;;;;;;;;;;;
S2RSLDB8;;FC1=CC=C(C=C1)C1=CC=C2OC(=O)N(CCCCN3CCN(CC3)C3CCCCC3)C2=C1;Ki;=;2255;Ki;=;61;=;3696721311;3567816711;7646853454;1121467016;523;945;319;3602;4515762;0;4;67;Affinities of the ligands for sigma-1 sites were determined in rat brain homogenates using 5 nM [3H](+)-pentazocine;Affinities of the ligands for sigma-2 sites were determined in rat brain homogenates using 3 nm [3H]DTG in the presence of (+)pentazocine 300 nM;;;Single assessment;;;1;0;405;1;801;242119;275;2723119;US2014-0328755;CM-366;U.S. Pat. Appl. Publ.;2014;;;;;"McCurdy, Christopher R.; Mesangeau, Christophe; Chin, Frederick T.; James, Michelle L.; Shen, Bin; Gambhir, Sanjiv; Biswal, Sandip; Behera, Deepak.";Highly selective sigma receptor ligands and radioligands as probes in nociceptive processing and the pathphysiological study of memory deficits and cognitive disorders;;;;;;;;;;;;;;;;;WO2009026227 CM-366 US 2010/0329978
S2RSLDB9;CHEMBL3262521;COC1=CC=CC=C1CN1C=C(N=N1)C(=O)NCCCCN1CCC2=C(C1)C=C(OC)C(OC)=C2;Ki;=;20573;Ki;=;97;=;2120927835;3326525892;4686702374;8013228266;309;809;233;9074;4795713;1;7;68;Binding affinity for sigma-1 receptor measured on guinea pig brain membrane homogenates (≈300 μg protein) incubated with 5 nM [3H]-(+)-pentazocine (34.9 Ci/mmol);Binding affinity for sigma-2 receptor measured on rat liver membranes homogenates (≈300 μg protein) incubated with 1 nM [3H]DTG (58.1 Ci/mmol) in the presence of 1 μM (+)-pentazocine;Oxalate;OC(=O)C(O)=O.COC1=CC=CC=C1CN1C=C(N=N1)C(=O)NCCCCN1CCC2=C(C1)C=C(OC)C(OC)=C2;Single assessment;;;0;955;835;75;978358;1021435;955;45755015;J Med Chem 2014, 57, 4239-51;39a;Journal of medicinal chemistry;2014;57;10;4239;4251;"Bai, S.; Li, S.; Xu, J.; Peng, X.; Sai, K.; Chu, W.; Tu, Z.; Zeng, C.; Mach, R. H.,";Synthesis and structure-activity relationship studies of conformationally flexible tetrahydroisoquinolinyl triazole carboxamide and triazole substituted benzamide analogues as sigma2 receptor ligands.;;;;;;;;;;;;;;;;;
S2RSLDB10;CHEMBL3262516;COC1=CC2=C(CN(CCCCNC(=O)C3=CN(N=N3)C3=CC=C(OCCF)C=C3)CC2)C=C1OC;Ki;=;46324;Ki;=;219;=;2115251142;3325361938;4334193947;7659555885;323;809;246;9074;4975618;1;7;68;Binding affinity for sigma-1 receptor measured on guinea pig brain membrane homogenates (≈300 μg protein) incubated with 5 nM [3H]-(+)-pentazocine (34.9 Ci/mmol);Binding affinity for sigma-2 receptor measured on rat liver membranes homogenates (≈300 μg protein) incubated with 1 nM [3H]DTG (58.1 Ci/mmol) in the presence of 1 μM (+)-pentazocine;Free base;COC1=CC2=C(CN(CCCCNC(=O)C3=CN(N=N3)C3=CC=C(OCCF)C=C3)CC2)C=C1OC;Single assessment;;;0;885;77;75;978358;12191;955;4350549;J Med Chem 2014, 57, 4239-51;24c;Journal of medicinal chemistry;2014;57;10;4239;4251;"Bai, S.; Li, S.; Xu, J.; Peng, X.; Sai, K.; Chu, W.; Tu, Z.; Zeng, C.; Mach, R. H.,";Synthesis and structure-activity relationship studies of conformationally flexible tetrahydroisoquinolinyl triazole carboxamide and triazole substituted benzamide analogues as sigma2 receptor ligands.;;;;;;;;;;;;;;;;;
