"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL3321792";"";"None";"405.97";"1";"5.48";"21";"OC1(c2ccc(Cl)cc2)CC2CCC(C1)N2CCCSc1ccccc1F";"Ki";"'='";"2.138";"nM";"8.67";"";"";"UO_0000065";"21.36";"0.44";"3.19";"36.94";"0";"CHEMBL4390736";"Displacement [3H]-DTG from sigma 2 receptor (unknown origin) expressed in HEK cell membranes";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4390638";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";"";"";""
"CHEMBL4590308";"";"None";"322.84";"0";"3.90";"22";"O=c1oc2ccc(Cl)cc2n1CCCCN1CCCCCC1";"Ki";"'='";"3.8";"nM";"8.42";"";"";"UO_0000065";"26.08";"0.52";"4.52";"21.94";"0";"CHEMBL4395237";"Displacement of [3H]-DTG from sigma2 receptor (unknown origin) incubated for 120 mins by scintillation counting method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4393688";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";"";"";""
"CHEMBL4580124";"";"None";"324.88";"0";"3.98";"23";"O=c1sc2ccc(Cl)cc2n1CCCN1CCCCCC1";"Ki";"'='";"68.8";"nM";"7.16";"";"";"UO_0000065";"22.05";"0.47";"3.18";"28.38";"0";"CHEMBL4395237";"Displacement of [3H]-DTG from sigma2 receptor (unknown origin) incubated for 120 mins by scintillation counting method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4393688";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";"";"";""
"CHEMBL4441396";"";"None";"338.90";"0";"4.37";"24";"O=c1sc2ccc(Cl)cc2n1CCCCN1CCCCCC1";"Ki";"'='";"7.61";"nM";"8.12";"";"";"UO_0000065";"23.96";"0.50";"3.75";"32.17";"0";"CHEMBL4395237";"Displacement of [3H]-DTG from sigma2 receptor (unknown origin) incubated for 120 mins by scintillation counting method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4393688";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";"";"";""
"CHEMBL560";"PENTAZOCINE";"None";"285.43";"0";"3.88";"(+)-PTZ";"CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C";"Ki";"'='";"1465.0";"nM";"5.83";"";"";"UO_0000065";"20.44";"0.38";"1.95";"24.86";"0";"CHEMBL4616034";"Displacement of [3H]-di-o-tolylguanidine from sigma2 receptor (unknown origin) incubated for 1 hr in presence of (+)SKF10047 by liquid scintillation counting method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4613307";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";""
"CHEMBL4639000";"";"None";"197.15";"0";"1.09";"5";"O=C(O)c1ccc(CO[N+](=O)[O-])cc1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4616034";"Displacement of [3H]-di-o-tolylguanidine from sigma2 receptor (unknown origin) incubated for 1 hr in presence of (+)SKF10047 by liquid scintillation counting method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4613307";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";""
"CHEMBL21708";"4-METHYLBENZOIC ACID";"None";"136.15";"0";"1.69";"22b";"Cc1ccc(C(=O)O)cc1";"Inhibition";"'<'";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4616040";"Displacement of [3H]-di-o-tolylguanidine from sigma2 receptor (unknown origin) at 10 uM incubated for 1 hr in presence of (+)SKF10047 by liquid scintillation counting method relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4613307";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";""
"CHEMBL4584140";"";"None";"544.10";"2";"5.07";"28";"O[C@H]1[C@H](n2cnc3c(NC(C4CCC4)C4CCC4)nc(Cl)nc32)[C@H]2C[C@@]2(CSc2ccccc2F)[C@H]1O";"Ki";"'='";"583.0";"nM";"6.23";"";"";"UO_0000065";"11.46";"0.23";"1.16";"6.49";"0";"CHEMBL4369934";"Inhibition of sigma receptor 2 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4368904";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";""
"CHEMBL340211";"AZAPERONE";"2.0";"327.40";"0";"3.01";"9";"O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1";"Ki";"'='";"50.12";"nM";"7.30";"";"";"UO_0000065";"22.30";"0.42";"4.29";"20.03";"0";"CHEMBL4390736";"Displacement [3H]-DTG from sigma 2 receptor (unknown origin) expressed in HEK cell membranes";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4390638";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";"";"";""
"CHEMBL4458099";"";"None";"221.30";"0";"2.30";"(+/-)-3e";"CC[C@H]1c2cc(OC)ccc2OC[C@@]1(C)N";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4308647";"Displacement of [3H]-Pentazocine from human recombinant sigma2 receptor expressed in HEKT cells after 90 mins by microbeta scintillation counting method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4105907";"Sigma intracellular receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4304834";"1";"Scientific Literature";"ACS Med Chem Lett";"2019";"None";"";"";""
